Unnamed: 0,Column1,Wind Farm Name,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer,Unnamed: 13,Geometry,Latitude,Longitude,geometry,COUNTY
34,34,"Bawnmore (Burren/Carraignimma)
Wind",11.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_1676_bawnmore.php,Enercon,,POINT (-8.905386815332974 51.95115388315384),51.95115388315384,-8.905386815332974,POINT (-8.905386815332974 51.95115388315384),CORK
35,35,Beale Hill (1),3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1722_beal-hill.php,Vestas,,POINT (-9.633621839786578 52.56425072142663),52.56425072142663,-9.633621839786578,POINT (-9.633621839786578 52.56425072142663),KERRY
36,36,Beale Hill (2),3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1723_beal-hill.php,Vestas,,POINT (-9.633419546371108 52.56357034375535),52.56357034375535,-9.633419546371108,POINT (-9.633419546371108 52.56357034375535),KERRY
37,37,Beale Hill (3) Wind Farm,3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_25200_beal-hill.php,Vestas,,POINT (-9.635935497513215 52.56498284110891),52.56498284110891,-9.635935497513216,POINT (-9.635935497513216 52.56498284110891),KERRY
38,38,Beallough Wind Farm,2.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_3854_beallough.php,Vestas,,POINT (-7.341297916261948 52.27330245509233),52.27330245509233,-7.341297916261948,POINT (-7.341297916261948 52.27330245509233),WATERFORD
39,39,"Beam Hill Wind Farm
Wind",8.0,103.0,60.0,78.0,3.5,25.0,16.0,"1,750",https://www.thewindpower.net/windfarm_en_1851_beam-hill.php,GE Energy,,POINT (-7.430812487600621 55.19066290887727),55.19066290887727,-7.430812487600621,POINT (-7.430812487600621 55.19066290887727),DONEGAL
40,40,Beenageeha Wind Farm,6.0,47.0,40.0,55.0,4.5,25.0,14.0,660,https://www.thewindpower.net/windfarm_en_1720_beenageeha.php,"Hansen, Flender, Valmet",,POINT (-9.564541785204923 52.33340758200742),52.33340758200742,-9.564541785204923,POINT (-9.564541785204923 52.33340758200742),KERRY
41,41,Beenanaspuck &  Tobertoreen,,,,,,,,,,,,POINT (-9.222233168551567 52.43442648931723),52.43442648931723,-9.222233168551568,POINT (-9.222233168551568 52.43442648931723),LIMERICK
42,42,Bellacorrick Wind Farm,20.0,31.0,31.0,35.0,5.5,23.0,15.0,300,https://www.thewindpower.net/windfarm_en_1732_bellacorick.php,LM Glasfiber,,POINT (-9.550890627719653 54.13188601747368),54.13188601747368,-9.550890627719651,POINT (-9.550890627719651 54.13188601747368),MAYO
43,43,Bindoo,,,,,,,,,,,,POINT (-7.136913713299223 54.00494273224134),54.00494273224134,-7.136913713299223,POINT (-7.136913713299223 54.00494273224134),CAVAN
44,44,Black Banks (1),8.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1728_blackbanks.php,Vestas,,POINT (-8.19508060806836 54.14422494567684),54.14422494567684,-8.19508060806836,POINT (-8.19508060806836 54.14422494567684),LEITRIM
45,45,Black Banks (2),8.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1729_blackbanks.php,Vestas,,POINT (-8.19508060806836 54.14422494567684),54.14422494567684,-8.19508060806836,POINT (-8.19508060806836 54.14422494567684),LEITRIM
46,46,Black Lough Wind farm,,,,,,,,,,,,POINT (-8.955458555333573 54.15886064904222),54.15886064904222,-8.955458555333573,POINT (-8.955458555333573 54.15886064904222),SLIGO
47,47,Boggeragh,19.0,90.0,65.0,105.0,3.5,25.0,16.5,"3,000",https://www.thewindpower.net/windfarm_en_11134_boggeragh.php,Vestas,,POINT (-8.920661904069759 52.03491431153052),52.03491431153052,-8.920661904069759,POINT (-8.920661904069759 52.03491431153052),CORK
48,48,Boggeragh,,,,,,,,,,,,POINT (-8.908912421650486 52.03769330444162),52.03769330444162,-8.908912421650486,POINT (-8.908912421650486 52.03769330444162),CORK
49,49,Boolard Wind Farm,,,,,,,,,,,,POINT (-8.757343565381325 52.32471973025979),52.32471973025979,-8.757343565381325,POINT (-8.757343565381325 52.32471973025979),CORK
50,50,Boolinrudda,,,,,,,,,,,,POINT (-9.289101515208174 52.83082419362944),52.83082419362944,-9.289101515208174,POINT (-9.289101515208174 52.83082419362944),CLARE
51,51,Booltiagh,13.0,90.0,65.0,105.0,3.5,25.0,16.5,"3,000",https://www.thewindpower.net/windfarm_en_1696_booltiagh.php,Vestas,,POINT (-9.246021694542211 52.78006879669262),52.78006879669262,-9.246021694542211,POINT (-9.246021694542211 52.78006879669262),CLARE
52,52,Booltiagh,6.0,90.0,65.0,105.0,3.5,25.0,16.5,"3,000",https://www.thewindpower.net/windfarm_en_21325_booltiagh-2.php,Vestas,,POINT (-9.240872842387803 52.77415449325298),52.77415449325298,-9.240872842387803,POINT (-9.240872842387803 52.77415449325298),CLARE
53,53,Boolynagleragh (1),18.0,90.0,65.0,105.0,3.5,25.0,16.5,"3,000",https://www.thewindpower.net/windfarm_en_32647_boolynagleragh.php,Vestas,,POINT (-9.15265838569183 52.78037443172728),52.78037443172728,-9.15265838569183,POINT (-9.15265838569183 52.78037443172728),CLARE
54,54,Bruckana,14.0,101.0,74.5,142.5,3.5,25.0,14.5,"3,000",https://www.thewindpower.net/windfarm_en_22493_bruckana.php,Siemens,,POINT (-7.670579972250433 52.78503954445071),52.78503954445071,-7.670579972250433,POINT (-7.670579972250433 52.78503954445071),LAOIS
55,55,Bunnahowen Wind Farm (Temp),,,,,,,,,,,,POINT (-9.890284267869893 54.19183190518746),54.19183190518746,-9.890284267869893,POINT (-9.890284267869893 54.19183190518746),MAYO
56,56,Bunnyconnellan Wind Farm,12.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_7257_bunnyconnellan.php,Enercon,,POINT (-8.993998168382737 54.1007406733569),54.1007406733569,-8.993998168382737,POINT (-8.993998168382737 54.1007406733569),MAYO
57,57,Burtonport Harbour Single Turbine,0.0,47.0,40.0,55.0,4.5,25.0,14.0,660,https://www.thewindpower.net/windfarm_en_1710_burtonport.php,"Hansen, Flender, Valmet",,POINT (-8.440190638715835 54.98065604631591),54.98065604631591,-8.440190638715835,POINT (-8.440190638715835 54.98065604631591),DONEGAL
58,58,Burtonstown,,,,,,,,,,,,POINT (-6.510788545969492 53.61715868427295),53.61715868427295,-6.510788545969492,POINT (-6.510788545969492 53.61715868427295),MEATH
59,59,Burtonstown Autoproducer,,,,,,,,,,,,POINT (-6.510788545969492 53.61715868427295),53.61715868427295,-6.510788545969492,POINT (-6.510788545969492 53.61715868427295),MEATH
60,60,"Caherdowney Wind Farm
Wind",4.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6701_caher-downey.php,Enercon,,POINT (-9.118224057321447 52.00257814719278),52.00257814719278,-9.118224057321449,POINT (-9.118224057321449 52.00257814719278),CORK
61,61,Cahermurphy Wind Farm,,,,,,,,,,,,POINT (-9.336598386262132 52.76817093826488),52.76817093826488,-9.336598386262132,POINT (-9.336598386262132 52.76817093826488),CLARE
62,62,Cappawhite A Wind Farm (Gate 2),15.0,103.0,69.0,94.0,4.0,25.0,12.5,"3,450",https://www.thewindpower.net/windfarm_en_25196_cappawhite-a.php,GE Energy,,POINT (-8.15287070514374 52.59595968498831),52.59595968498831,-8.15287070514374,POINT (-8.15287070514374 52.59595968498831),TIPPERARY
63,63,Cappawhite A Wind Farm (Gate 3),,,,,,,,,,,,POINT (-8.15287070514374 52.59595968498831),52.59595968498831,-8.15287070514374,POINT (-8.15287070514374 52.59595968498831),TIPPERARY
64,64,"Cappawhite B Wind Farm (Cappagh White)
Wind",4.0,103.0,75.0,100.0,4.0,25.0,13.0,"3,450",https://www.thewindpower.net/windfarm_en_25198_cappawhite-b.php,GE Energy,,POINT (-8.163075979098073 52.6015546317536),52.6015546317536,-8.163075979098073,POINT (-8.163075979098073 52.6015546317536),TIPPERARY
65,65,Cark,25.0,43.0,40.0,56.5,3.0,25.0,15.5,600,https://www.thewindpower.net/windfarm_en_1705_cark.php,LM Glasfiber,,POINT (-7.896798847494533 54.89689115252893),54.89689115252893,-7.896798847494533,POINT (-7.896798847494533 54.89689115252893),DONEGAL
66,66,Carnsore Wind Farm,14.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_411_carnsore.php,Vestas,,POINT (-6.361852168504458 52.17841049573332),52.17841049573332,-6.361852168504458,POINT (-6.361852168504458 52.17841049573332),WEXFORD
67,67,"Carraigcannon Wind Farm
Wind",10.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_1683_carrigcannon.php,Enercon,,POINT (-8.892134695785108 52.06693743434548),52.06693743434548,-8.892134695785108,POINT (-8.892134695785108 52.06693743434548),CORK
68,68,Carrane Hill Wind Farm,4.0,52.0,44.0,65.0,4.0,25.0,16.0,850,https://www.thewindpower.net/windfarm_en_1852_carranne-hill.php,Gamesa,,POINT (-8.233405356677938 54.13884617627499),54.13884617627499,-8.233405356677938,POINT (-8.233405356677938 54.13884617627499),SLIGO
69,69,Carrickallen Wind Farm,2.0,92.5,63.75,100.0,3.5,22.0,13.0,"2,050",https://www.thewindpower.net/windfarm_en_29941_carrickallen.php,Power Blades,,POINT (-7.170746434533928 54.01578462299731),54.01578462299731,-7.170746434533928,POINT (-7.170746434533928 54.01578462299731),CAVAN
70,70,Carrickeeny Wind Farm,4.0,92.5,63.75,100.0,3.5,22.0,13.0,"2,050",https://www.thewindpower.net/windfarm_en_17349_carrickeeney.php,Power Blades,,POINT (-8.277432774204518 54.33092823319221),54.33092823319221,-8.277432774204518,POINT (-8.277432774204518 54.33092823319221),LEITRIM
71,71,"Carrig Wind Farm
Wind",3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_3847_carrig.php,Vestas,,POINT (-7.97835411724381 53.02927429847751),53.02927429847751,-7.97835411724381,POINT (-7.97835411724381 53.02927429847751),TIPPERARY
72,72,Carrons (A&B) Wind Farm,2.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_17367_carrons.php,Enercon,,POINT (-9.069659017529448 52.54102715700549),52.54102715700549,-9.069659017529448,POINT (-9.069659017529448 52.54102715700549),LIMERICK
73,73,Carrowleagh Wind Farm (1),14.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_1688_carrowleagh-1.php,Enercon,,POINT (-8.954306822612873 54.13342111765927),54.13342111765927,-8.954306822612873,POINT (-8.954306822612873 54.13342111765927),MAYO
74,74,Carrowleagh Wind Farm Ext. (2),,,,,,,,,,,,POINT (-8.954306822612873 54.13342111765927),54.13342111765927,-8.954306822612873,POINT (-8.954306822612873 54.13342111765927),MAYO
75,75,Carrownaweelaun Wind Farm,2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18633_carrownaweelaun-wind-farm.php,Enercon,,POINT (-9.724425798086843 52.63405779034721),52.63405779034721,-9.724425798086845,POINT (-9.724425798086845 52.63405779034721),CLARE
76,76,Castledockrell,7.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_15879_castledockrell.php,Enercon,,POINT (-6.637558914747097 52.58797882004605),52.58797882004605,-6.637558914747097,POINT (-6.637558914747097 52.58797882004605),WEXFORD
77,77,Castledockrell,7.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_18010_castledockrell.php,Enercon,,POINT (-6.637558914747097 52.58797882004605),52.58797882004605,-6.637558914747097,POINT (-6.637558914747097 52.58797882004605),WEXFORD
78,78,Castledockrell,7.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_18011_castledockrell.php,Enercon,,POINT (-6.637558914747097 52.58797882004605),52.58797882004605,-6.637558914747097,POINT (-6.637558914747097 52.58797882004605),WEXFORD
79,79,Castledockrell,7.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_18048_castledockrell.php,Enercon,,POINT (-6.637558914747097 52.58797882004605),52.58797882004605,-6.637558914747097,POINT (-6.637558914747097 52.58797882004605),WEXFORD
80,80,Castlepook (1),14.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_26592_castlepook.php,"LM Glasfiber, Nordex",,POINT (-8.542933071496421 52.28679919454638),52.28679919454638,-8.542933071496421,POINT (-8.542933071496421 52.28679919454638),CORK
81,81,Clahane,20.0,70.0,64.0,113.0,2.0,25.0,14.0,"2,000",https://www.thewindpower.net/windfarm_en_3827_clahane.php,Enercon,,POINT (-9.54774810256517 52.37859312015904),52.37859312015904,-9.54774810256517,POINT (-9.54774810256517 52.37859312015904),KERRY
82,82,Cleanrath Wind Farm,,,,,,,,,,,,POINT (-9.138907455022906 51.87628428433515),51.87628428433515,-9.138907455022906,POINT (-9.138907455022906 51.87628428433515),CORK
83,83,Cloghaneleskirt Wind Farm,5.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_29947_cloghaneleskirt.php,Enercon,,POINT (-9.533183362927543 52.34315861062158),52.34315861062158,-9.533183362927543,POINT (-9.533183362927543 52.34315861062158),KERRY
84,84,Cloghboola,16.0,82.0,59.0,84.0,2.0,25.0,17.0,"3,000",https://www.thewindpower.net/windfarm_en_18501_cloghboola.php,Enercon,,POINT (-9.438120946412784 52.33051972135152),52.33051972135152,-9.438120946412784,POINT (-9.438120946412784 52.33051972135152),KERRY
85,85,Clogheravaddy Wind Farm (Phase 1),3.0,103.0,75.0,100.0,3.0,25.0,13.0,"3,600",https://www.thewindpower.net/windfarm_en_19303_clogheravaddy.php,GE Energy,,POINT (-8.269181874084007 54.71453357934305),54.71453357934305,-8.269181874084007,POINT (-8.269181874084007 54.71453357934305),DONEGAL
86,86,Clogheravaddy Wind Farm (Phase 2),3.0,103.0,75.0,100.0,3.0,25.0,13.0,"3,600",https://www.thewindpower.net/windfarm_en_32462_clogheravaddy-ii.php,GE Energy,,POINT (-8.272489077498033 54.71014155691302),54.71014155691302,-8.272489077498033,POINT (-8.272489077498033 54.71014155691302),DONEGAL
87,87,Cloncreen,0.0,47.0,40.0,55.0,4.5,25.0,14.0,"3,600",https://www.thewindpower.net/windfarm_en_7401_cloncreen.php,"Hansen, Flender, Valmet",,POINT (-7.124993347956691 53.28338830585668),53.28338830585668,-7.124993347956691,POINT (-7.124993347956691 53.28338830585668),OFFALY
88,88,Cloonlusk Wind Farm,2.0,103.0,75.0,100.0,3.0,25.0,13.0,"3,600",https://www.thewindpower.net/windfarm_en_29948_cloonlusk.php,GE Energy,,POINT (-8.800904408729087 53.46895404938205),53.46895404938205,-8.800904408729087,POINT (-8.800904408729087 53.46895404938205),GALWAY
89,89,"Clydaghroe Wind Farm
Wind",2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_9663_clydraghroe.php,Enercon,,POINT (-9.161180974981821 51.99039532805474),51.99039532805474,-9.16118097498182,POINT (-9.16118097498182 51.99039532805474),KERRY
90,90,Collon Wind Power Limited (Gate 2),0.0,82.0,59.0,84.0,2.0,25.0,17.0,"3,000",https://www.thewindpower.net/windfarm_en_24927_collon.php,Enercon,,POINT (-6.53310366511256 53.78598153091148),53.78598153091148,-6.53310366511256,POINT (-6.53310366511256 53.78598153091148),LOUTH
91,91,Collon Wind Power Limited (Gate 3),,,,,,,,,,,,POINT (-6.53310366511256 53.78598153091148),53.78598153091148,-6.53310366511256,POINT (-6.53310366511256 53.78598153091148),LOUTH
92,92,Coollegrean Wind Farm,7.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_23827_coollegrean.php,"LM Glasfiber, Nordex",,POINT (-9.268414967115026 52.2642547248321),52.2642547248321,-9.268414967115026,POINT (-9.268414967115026 52.2642547248321),KERRY
93,93,Cooly Wind Farm,0.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29949_cooly.php,"LM Glasfiber, Nordex",,POINT (-7.103685814270579 55.21545354367021),55.21545354367021,-7.103685814270579,POINT (-7.103685814270579 55.21545354367021),DONEGAL
94,94,Coomacheo,18.0,82.4,58.5,100.0,3.5,25.0,15.0,"2,300",https://www.thewindpower.net/windfarm_en_3836_coomacheo.php,Siemens,,POINT (-9.158833281885686 52.0212791130184),52.0212791130184,-9.158833281885686,POINT (-9.158833281885686 52.0212791130184),CORK
95,95,Coomacheo,8.0,82.4,58.5,100.0,3.5,25.0,15.0,"2,300",https://www.thewindpower.net/windfarm_en_6693_coomacheo-extension.php,Siemens,,POINT (-9.158833281885686 52.0212791130184),52.0212791130184,-9.158833281885686,POINT (-9.158833281885686 52.0212791130184),CORK
96,96,Coomagearlahy,10.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_6695_coomagearlaghy-ii.php,Vestas,,POINT (-9.321381996140953 51.93400502550987),51.93400502550987,-9.321381996140952,POINT (-9.321381996140952 51.93400502550987),KERRY
97,97,Coomagearlahy,13.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_6696_coomagearlaghy-iii.php,"LM Glasfiber, Nordex",,POINT (-9.308392619440673 51.88790723712497),51.88790723712497,-9.308392619440673,POINT (-9.308392619440673 51.88790723712497),KERRY
98,98,Coomagearlahy,,,,,,,,,,,,POINT (-9.347960886135118 51.93527684746584),51.93527684746584,-9.347960886135118,POINT (-9.347960886135118 51.93527684746584),KERRY
99,99,"Coomatallin Wind Farm
Wind",4.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_1700_coomatallin.php,"LM Glasfiber, Nordex",,POINT (-9.092664602461152 51.65732872518634),51.65732872518634,-9.092664602461152,POINT (-9.092664602461152 51.65732872518634),CORK
100,100,Cordal,12.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27248_cordal-1.php,"LM Glasfiber, Nordex",,POINT (-9.28134190191993 52.22986642322923),52.22986642322923,-9.28134190191993,POINT (-9.28134190191993 52.22986642322923),KERRY
101,101,Cordal,11.0,90.0,65.0,80.0,3.0,25.0,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27249_cordal-2.php,"LM Glasfiber, Nordex",,POINT (-9.276116730695584 52.2319456018478),52.2319456018478,-9.276116730695584,POINT (-9.276116730695584 52.2319456018478),KERRY
102,102,Corkermore Wind Farm Phase 1,5.0,80.0,60.0,100.0,3.5,25.0,15.0,"2,000",https://www.thewindpower.net/windfarm_en_19357_corkermore.php,Gamesa,,POINT (-8.35618879201886 54.71339271529236),54.71339271529236,-8.35618879201886,POINT (-8.35618879201886 54.71339271529236),DONEGAL
103,103,CORNEEN Wind Farm,2.0,70.5,65.0,100.0,3.5,25.0,11.0,"1,500",https://www.thewindpower.net/windfarm_en_1693_corneen.php,"VEM, Loher",,POINT (-7.637573127053639 54.13350387076888),54.13350387076888,-7.637573127053639,POINT (-7.637573127053639 54.13350387076888),CAVAN
104,104,Corrie Mt.,8.0,42.0,40.5,53.0,4.5,25.0,16.0,600,https://www.thewindpower.net/windfarm_en_1726_corry-mountain.php,Vestas,,POINT (-8.153060211939458 54.12974675960881),54.12974675960881,-8.153060211939458,POINT (-8.153060211939458 54.12974675960881),LEITRIM
105,105,Corvin Wind Turbine,,,,,,,,,,,,POINT (-7.389281112752842 55.13482176851534),55.13482176851534,-7.389281112752842,POINT (-7.389281112752842 55.13482176851534),DONEGAL
106,106,Country Crest,0.0,48.0,50.0,76.0,3.0,25.0,14.0,800,https://www.thewindpower.net/windfarm_en_1691_country-crest.php,Enercon,,POINT (-6.175441224184424 53.54780218985795),53.54780218985795,-6.175441224184424,POINT (-6.175441224184424 53.54780218985795),DUBLIN
107,107,"Crocane Wind Farm
Wind",2.0,48.0,50.0,76.0,3.0,25.0,14.0,800,https://www.thewindpower.net/windfarm_en_1685_crocane.php,Enercon,,POINT (-8.156606125572253 51.84315518796245),51.84315518796245,-8.156606125572253,POINT (-8.156606125572253 51.84315518796245),CORK
108,108,Crockahenny,10.0,40.0,42.0,65.0,2.5,25.0,13.5,500,https://www.thewindpower.net/windfarm_en_1704_crockahenny.php,Enercon,,POINT (-7.271127409333323 55.14621167358148),55.14621167358148,-7.271127409333323,POINT (-7.271127409333323 55.14621167358148),DONEGAL
109,109,Cronalaght Wind Farm 2,3.0,47.0,40.0,55.0,4.5,25.0,14.0,660,https://www.thewindpower.net/windfarm_en_1702_cronalaght.php,"Hansen, Flender, Valmet",,POINT (-8.215930486948135 55.06046762484883),55.06046762484883,-8.215930486948135,POINT (-8.215930486948135 55.06046762484883),DONEGAL
110,110,Cronelea Upper Wind Farm,3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1742_cronelea-upper.php,Vestas,,POINT (-6.557413870636472 52.77710438634515),52.77710438634515,-6.557413870636472,POINT (-6.557413870636472 52.77710438634515),WICKLOW
111,111,Cronelea Upper Wind Farm (2),0.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_3921_cronelea-upper-2.php,Vestas,,POINT (-6.547339987868869 52.78005554390842),52.78005554390842,-6.547339987868869,POINT (-6.547339987868869 52.78005554390842),WICKLOW
112,112,Cronelea Wind Farm,2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3850_cronelea-i.php,Enercon,,POINT (-6.547589651245881 52.78057094872134),52.78057094872134,-6.547589651245881,POINT (-6.547589651245881 52.78057094872134),WICKLOW
113,113,Cronelea Wind Farm (2),2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_11131_cronelea-ii.php,Enercon,,POINT (-6.555292344582769 52.77984704323014),52.77984704323014,-6.555292344582769,POINT (-6.555292344582769 52.77984704323014),WICKLOW
114,114,Cuillalea Wind Farm,4.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1734_cuillalea.php,Vestas,,POINT (-9.07269505010192 53.84850683700273),53.84850683700273,-9.07269505010192,POINT (-9.07269505010192 53.84850683700273),MAYO
115,115,Cuillalea Wind Farm (2),4.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_11137_cuillalea.php,Vestas,,POINT (-9.076004219928125 53.8483513942379),53.8483513942379,-9.076004219928125,POINT (-9.076004219928125 53.8483513942379),MAYO
116,116,Culliagh Wind Farm (Meenbog),18.0,47.0,40.0,55.0,4.5,25.0,14.0,660,https://www.thewindpower.net/windfarm_en_1707_culliagh.php,"Hansen, Flender, Valmet",,POINT (-7.884463617695902 54.87108519832377),54.87108519832377,-7.884463617695902,POINT (-7.884463617695902 54.87108519832377),DONEGAL
117,117,Currabwee Wind Farm,7.0,47.0,40.0,55.0,4.5,25.0,14.0,660,https://www.thewindpower.net/windfarm_en_1697_currabwee.php,"Hansen, Flender, Valmet",,POINT (-9.121214168914928 51.68146715819464),51.68146715819464,-9.121214168914928,POINT (-9.121214168914928 51.68146715819464),CORK
118,118,Curraghderrig,0.0,47.0,40.0,55.0,4.5,25.0,14.0,660,https://www.thewindpower.net/windfarm_en_27251_curragh-derrig.php,"Hansen, Flender, Valmet",,POINT (-9.59777967799111 52.55336878568561),52.55336878568561,-9.59777967799111,POINT (-9.59777967799111 52.55336878568561),KERRY
119,119,"CURRAGHGRAIGUE (2) Wind Farm
Wind",3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_18005_curraghgraigue.php,Vestas,,POINT (-8.1025230862312 52.79769385030053),52.79769385030053,-8.1025230862312,POINT (-8.1025230862312 52.79769385030053),TIPPERARY
120,120,Curraghgraigue Wind Farm,3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1740_curraghgraigue.php,Vestas,,POINT (-8.105187801079305 52.79587598949525),52.79587598949525,-8.105187801079305,POINT (-8.105187801079305 52.79587598949525),TIPPERARY
121,121,DePuy 3MW Wind Turbine,0.0,101.0,99.0,149.0,2.0,25.0,13.0,"3,000",https://www.thewindpower.net/windfarm_en_22488_depuy.php,Enercon,,POINT (-8.305439262356602 51.82681706444884),51.82681706444884,-8.305439262356602,POINT (-8.305439262356602 51.82681706444884),CORK
122,122,Derrybrien,70.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1719_derrybrien.php,Vestas,,POINT (-8.607948289841637 53.09369992513383),53.09369992513383,-8.607948289841637,POINT (-8.607948289841637 53.09369992513383),GALWAY
123,123,Derrynadivva Extension,,,,,,,,,,,,POINT (-9.343155220063643 53.91946730466974),53.91946730466974,-9.343155220063643,POINT (-9.343155220063643 53.91946730466974),MAYO
124,124,Derrynadivva Wind Farm (prev. sd),,,,,,,,,,,,POINT (-9.339209260583667 53.90558180618625),53.90558180618625,-9.339209260583669,POINT (-9.339209260583669 53.90558180618625),MAYO
125,125,Derrysallagh Wind Farm (Formerly Kilronan 2),,,,,,,,,,,,POINT (-8.187167736802744 54.09668479276711),54.09668479276711,-8.187167736802744,POINT (-8.187167736802744 54.09668479276711),SLIGO
126,126,Donaghmede Fr Collins Park Wind Farm,0.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1675_donaghmede-fr-collins-park.php,Vestas,,POINT (-6.16214952576344 53.40759139587571),53.40759139587571,-6.16214952576344,POINT (-6.16214952576344 53.40759139587571),DUBLIN
127,127,Dromada,19.0,82.5,59.0,100.0,3.5,20.0,12.0,"1,500",https://www.thewindpower.net/windfarm_en_17331_dromada.php,"LM Glasfiber, GE Energy",,POINT (-9.222233168551567 52.43442648931723),52.43442648931723,-9.222233168551568,POINT (-9.222233168551568 52.43442648931723),LIMERICK
128,128,"Dromdeeveen Wind Farm (1)
Wind",6.0,80.0,60.0,100.0,3.5,25.0,14.5,"2,000",https://www.thewindpower.net/windfarm_en_18140_dromdeveen-1.php,Vestas,,POINT (-9.03912563316182 52.33213233162971),52.33213233162971,-9.03912563316182,POINT (-9.03912563316182 52.33213233162971),LIMERICK
129,129,"Dromdeeveen Wind Farm (2)
Wind",8.0,80.0,60.0,100.0,3.5,25.0,14.5,"2,000",https://www.thewindpower.net/windfarm_en_24077_dromdeveen-2.php,Vestas,,POINT (-9.030245777595129 52.32758983878279),52.32758983878279,-9.030245777595129,POINT (-9.030245777595129 52.32758983878279),LIMERICK
130,130,Drumlough Hill (2) (Lough Doo),12.0,52.0,44.0,65.0,4.0,25.0,16.0,850,https://www.thewindpower.net/windfarm_en_11115_drumlough-hill-extension.php,Gamesa,,POINT (-7.441968858251897 55.20030969459173),55.20030969459173,-7.441968858251897,POINT (-7.441968858251897 55.20030969459173),DONEGAL
131,131,"Drumlough Hill Wind Farm
Wind",8.0,47.0,40.0,55.0,4.5,25.0,14.0,660,https://www.thewindpower.net/windfarm_en_1703_drumlough-hill.php,"Hansen, Flender, Valmet",,POINT (-7.438520690305142 55.20423797754429),55.20423797754429,-7.438520690305142,POINT (-7.438520690305142 55.20423797754429),DONEGAL
