Column1,Wind Farm Name,GPS Coordinates,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer,
159,Gneeves Wind Farm,POINT (-9.120455584776623 52.01320037000803),11,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1699_gneeves.php,Vestas,
160,Golagh,POINT (-7.945639365549868 54.68883592044301),,,,,,,,,,,
161,Gortahile Wind Farm,POINT (-7.05876717545569 52.82347736388753),8,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_16072_gortahile.php,"LM Glasfiber, Nordex",
162,Gortnacloghy Wind Farm,POINT (-9.086064619881627 52.36450148369891),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29950_gortnacloghy-wind-farm.php,"LM Glasfiber, Nordex",
163,Gortnahalla,POINT (-7.999644773382389 52.71747688897345),,,,,,,,,,,
164,Grady Joinery Wind Farm,POINT (-8.747689097036718 53.96938470488255),0,82,78,138,2,25,12.5,"2,000",https://www.thewindpower.net/windfarm_en_29951_grady-joinery.php,Enercon,
165,"Greenoge Wind Farm
Wind",POINT (-6.723400176972635 52.65731171511751),,,,,,,,,,,
166,Grouse Lodge Wind Farm,POINT (-9.103978604986905 52.52101802867234),6,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_16094_grouse-lodge.php,"LM Glasfiber, Nordex",
167,Grousemount,POINT (-9.314718866488532 51.87269802297969),,,,,,,,,,,
168,Grove Hill Windfarm (formerly Tullynageer WF),POINT (-6.700502848015811 54.1907131713937),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_24928_grove-hill.php,"LM Glasfiber, Nordex",
169,Gurteen Lower Wind Farm,POINT (-7.59563666950489 52.6305655033421),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27256_gurteen-lower.php,"LM Glasfiber, Nordex",
170,"Hollyford(Holyford) Wind Farm
Wind",POINT (-8.069674452322245 52.64664944383266),3,101,74.5,142.5,3.5,25,14.5,"3,000",https://www.thewindpower.net/windfarm_en_21091_hollyford.php,Siemens,
171,"Kealkil Wind Farm
Wind",POINT (-9.320215549914193 51.8124139011893),10,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_3837_kealkill.php,Gamesa,
172,Kelwin,POINT (-9.513217875444944 52.52976036291969),,,,,,,,,,,
173,Kilberehert Wind Farm,POINT (-8.85750785844934 52.26156308905698),0,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_25028_kilberehert.php,Gamesa,
174,"Kilbranish Wind Farm
Wind",POINT (-6.723400176972635 52.65731171511751),4,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_1692_kilbranish.php,"LM Glasfiber, Nordex",
175,Kill Hill,POINT (-7.784292531567703 52.5394074879359),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27244_killin-hill.php,"LM Glasfiber, Nordex",
176,Killala Wind Farm (Phase 1),POINT (-9.224208487504548 54.19109748693889),5,103,74.5,94,3,25,13,"3,400",https://www.thewindpower.net/windfarm_en_32265_killala.php,GE Energy,
177,Killaveenoge Windfarm - (Derryvacorneen merge with Barrboy),POINT (-9.25214278165053 51.73676293605197),10,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27826_killaveenoge.php,"LM Glasfiber, Nordex",
178,Killaveenoge Windfarm (Derryvacorneen merge with Barrboy Windfarm),POINT (-9.246844157880382 51.82301362774484),,,,,,,,,,,
179,Killin Hill Wind Farm,POINT (-8.290818461557015 54.70406110733207),0,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27244_killin-hill.php,"LM Glasfiber, Nordex",
180,Killybegs Wind Farm,POINT (-8.45893880029227 54.65831961068084),3,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_1854_killybegs.php,Enercon,
181,Kilmeedy Wind Farm,POINT (-8.891127749030321 52.42506179837494),0,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_29952_kilmeedy.php,Enercon,
182,Kilpatrick Wind,POINT (-8.700611125671116 51.77448944466406),,,,,,,,,,,
183,Kilronan,POINT (-8.146812452494599 54.08060226601279),10,39,40,53,4.5,25,15.5,500,https://www.thewindpower.net/windfarm_en_1735_kilronan.php,Vestas,
184,Kiltumper Wind Farm,POINT (-9.311826691922271 52.74964363568818),,,,,,,,,,,
185,Kilvinane Wind Farm,POINT (-8.99187850363832 51.70564428199769),2,80,60,100,3.5,25,15,"2,000",https://www.thewindpower.net/windfarm_en_26588_kilvinane.php,Gamesa,
186,Kingsmountain,POINT (-8.790275463235647 54.20434065546121),10,80,60,105,4,25,15,"2,500",https://www.thewindpower.net/windfarm_en_1738_kingsmountain-1.php,LM Glasfiber,
187,Kingsmountain,POINT (-8.821510026699992 54.21342317478299),13,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_19365_kingsmountain-2.php,Vestas,
188,Knock South Wind Farm (2),POINT (-9.369027882429197 53.26503367038818),,,,,,,,,,,
189,Knock South Wind Farm (Inverin),POINT (-9.368179747935173 53.26523215001833),,,,,,,,,,,
190,Knockacummer,POINT (-9.100450969375183 52.2596924289923),5,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_21329_knockacummer.php,"LM Glasfiber, Nordex",
191,Knockalassa,POINT (-8.669228256641594 53.07873053135388),11,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29939_knockalough.php,"LM Glasfiber, Nordex",
192,Knockalough,POINT (-9.243556532349633 53.30015693746744),11,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_29939_knockalough.php,"LM Glasfiber, Nordex",
193,Knockaneden Wind Farm,POINT (-10.09890834649712 51.93682176677912),3,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_20267_knockaneden.php,Enercon,
194,"Knockastanna Wind Farm
Wind",POINT (-8.213937197197922 52.66336525547621),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17465_knockastanna.php,Enercon,
195,Knockawarriga Extension (Knockacummer & Caherlevoy) Wind Farm,POINT (-9.21968285595155 52.34467167785956),9,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_3833_knockawarriga.php,"LM Glasfiber, Nordex",
196,"Knockawarriga Wind Farm
Wind",POINT (-9.20539893057002 52.34240024236953),,,,,,,,,,,
197,"Knocknagoum (1)
Wind",POINT (-9.529779852030195 52.32747150074518),6,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_24675_knocknagoum.php,Vestas,
198,"Knocknagoum (2)
Wind",POINT (-9.544890100810662 52.28908816523703),6,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_24676_knocknagoum.php,Vestas,
199,"Knocknalour Wind Farm (1)
Wind",POINT (-6.564116558500746 52.68103448977176),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21333_knocknalour.php,Enercon,
200,"Knocknalour Wind Farm G3
Wind",POINT (-6.557309924778298 52.68158103900787),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21334_knocknalour.php,Enercon,
201,Knocknatallig Wind Farm (formerly Buttevant Wind Farm),POINT (-8.620949359013673 52.28959675334487),6,103,75,100,4,25,13,"3,200",https://www.thewindpower.net/windfarm_en_27827_knocknatallig.php,GE Energy,
202,KWT Energy Ltd,POINT (-7.424725567914138 52.21036787350898),,,,,,,,,,,
203,Lackan Wind Farm,POINT (-9.070943195160707 54.24562952708098),3,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_1853_lackan.php,Enercon,
204,"Lahanaght Hill Wind Farm
Wind",POINT (-9.217587303785992 51.65076889702033),5,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3839_lahanaght-hill.php,Vestas,
205,Largan Hill,POINT (-8.567459826699338 53.94809436013644),9,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1736_largan-hill.php,"Hansen, Flender, Valmet",
206,Leabeg Wind Farm,POINT (-7.768261940812356 53.23457148705784),2,92,78,138,2,25,13,"2,350",https://www.thewindpower.net/windfarm_en_23057_leabeg.php,Enercon,
207,Leanamore Wind Farm (Tarbert Wind Farm) Wind,POINT (-9.424498831460642 52.53920318300765),9,101,80,100,3,20,12,"2,300",https://www.thewindpower.net/windfarm_en_26342_leanamore.php,Siemens,
208,Leitir Guingaid Wind Farm,POINT (-9.196098847605024 53.28605548951147),7,82,59,84,2,25,17,"3,000",https://www.thewindpower.net/windfarm_en_22155_leitir-guingaid.php,Enercon,
209,Lenanavea (Burren) Wind Farm,POINT (-9.343155220063643 53.91946730466974),,,,,,,,,,,
210,Liffey Autoproduction Project,POINT (-7.204393586288859 53.85156263011655),0,101,99,149,2,25,13,"3,000",https://www.thewindpower.net/windfarm_en_29953_liffey-autoproduction-project.php,Enercon,
211,Liffey Autoproduction Project (extension),POINT (-7.204393586288859 53.85156263011655),,,,,,,,,,,
212,Lios na Carraige,POINT (-6.79054830751773 53.90662655294492),,,,,,,,,,,
213,Lisdowney Wind Farm,POINT (-7.430139187718755 52.78450593938314),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_24925_lisdowney.php,Enercon,
214,Lisheen,POINT (-7.691159682808515 52.75726855244516),12,90,80,125,3,25,13.5,"2,000",https://www.thewindpower.net/windfarm_en_17333_lisheen.php,Vestas,
215,Lisheen,POINT (-7.68169465208935 52.75096101698443),12,90,80,125,3,25,13.5,"2,000",https://www.thewindpower.net/windfarm_en_21332_lisheen.php,Vestas,
216,Lissycasey Wind Farm,POINT (-9.207559196470315 52.75985626050475),,,,,,,,,,,
217,Loughderryduff Wind Farm,POINT (-8.380527970905623 54.81997800731057),9,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3848_loughderryduff.php,Vestas,
218,Lurganboy Wind Farm,POINT (-7.617931347483675 55.11289684364568),6,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_3823_lurganboy.php,Enercon,
219,Mace Upper Wind Farm,POINT (-8.968259019024586 53.76763480515034),3,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_3920_mace-upper.php,Enercon,
220,Magheramore and Cloontooa Wind Farm,POINT (-8.917271482524452 53.7631829882611),0,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_7260_magheramore.php,Enercon,
221,Mauricetown (Glenduff)  Wind Farm,POINT (-9.043417858149509 52.34119120733457),,,,,,,,,,,
222,Meade Potato Company,POINT (-6.613396137134364 53.78885126127357),0,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_29954_meade-potato-company.php,Enercon,
223,Meenachullalan Wind Farm,POINT (-8.492240522870985 54.69007678560302),6,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6702_meenachullalan.php,Enercon,
224,Meenadreen Wind Farm,POINT (-7.960940456022537 54.66354924804836),36,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_27245_meenadreen-ii.php,"LM Glasfiber, Nordex",
225,Meenanilta (3),POINT (-7.822972403073742 54.84963662959191),4,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_19360_meenanilta-iii.php,Enercon,
226,Meenanilta Wind Farm (1),POINT (-7.829949647529897 54.84930518190571),,,,,,,,,,,
227,Meenanilta Wind Farm (2),POINT (-7.81766204640764 54.84977252716596),,,,,,,,,,,
228,Meenaward Wind Farm (Formerly Beam Hill 2),POINT (-7.440450283213533 55.19770627651661),0,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_27246_meenaward.php,Enercon,
229,Meenkeeragh Wind Farm,POINT (-7.39197916587776 55.12961530802457),2,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_19356_meenkeeragh-i.php,Enercon,
230,Meenkeeragh Wind Farm (2),POINT (-7.39197916587776 55.12961530802457),0,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_19359_meenkeeragh-ii.php,Enercon,
231,Meentycat,POINT (-7.862268515271414 54.86948076354176),15,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_1714_meentycat.php,Enercon,
232,Meentycat,POINT (-7.883904254734794 54.88140801016966),7,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_17334_meentycat-2.php,Enercon,
233,Meenwaun Wind Farm,POINT (-7.921047071060448 53.16092314645419),4,103,85,139,3,25,12.5,"2,750",https://www.thewindpower.net/windfarm_en_27253_meenwaun.php,GE Energy,
234,Michael Aylward,POINT (-7.072299563982313 52.33209804064469),0,101,85,139,3,25,12.5,"2,750",https://www.thewindpower.net/windfarm_en_24926_michael-aylward-windfarm.php,Enercon,
235,Midas,POINT (-9.306967333546249 51.92590447351402),,,,,,,,,,,
236,Milane Hill Wind Farm,POINT (-9.21252347986815 51.68954100772094),9,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1698_milane-hill.php,"Hansen, Flender, Valmet",
237,"Moanmore Wind Farm
Wind",POINT (-9.488160988460269 52.67087051679631),7,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_1695_moanmore.php,Enercon,
238,Monaincha Bog Wind Farm (Gate 2),POINT (-7.719008101606604 52.93710104862456),15,103,91,141,3,20,11,"2,400",https://www.thewindpower.net/windfarm_en_22153_monaincha-bog.php,GE Energy,
239,Monaincha Bog Wind Farm (Gate 3),POINT (-7.719008101606604 52.93710104862456),,,,,,,,,,,
240,Moneenatieve Wind Farm (1),POINT (-8.158680243935136 54.14305635818167),5,58,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_1730_moneenatieve-1.php,Gamesa,
241,Moneenatieve Wind Farm (2),POINT (-8.158317409001992 54.13219307174718),0,58,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_19362_moneenatieve-2.php,Gamesa,
242,Moneypoint,POINT (-9.423213685445512 52.61019438911185),5,103,69,94,4,25,12.5,"3,450",https://www.thewindpower.net/windfarm_en_27243_moneypoint.php,GE Energy,
243,Mossedge Wind Farm,POINT (-7.278713329768117 55.11873729246109),,,,,,,,,,,
244,Mount Cronalaght,POINT (-8.218010360817054 55.06298852837855),,,,,,,,,,,
245,Mount Eagle Wind Farm,POINT (-9.322854469638944 52.24202029481307),6,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1725_mount-eagle-windfarm-i.php,Vestas,
246,Mount Eagle Wind Farm (2),POINT (-9.322336511825885 52.24183732531075),2,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3826_mount-eagle-windfarm-ii.php,Vestas,
247,Mountain Lodge,POINT (-7.107941901830997 54.02149957563525),2,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_6705_mountain-lodge-1.php,"LM Glasfiber, GE Energy",
248,Mountain Lodge,POINT (-7.107941901830997 54.02149957563525),17,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_6700_mountain-lodge-2.php,"LM Glasfiber, GE Energy",
249,"Mountain Lodge Wind Farm
Wind",POINT (-7.107941901830997 54.02149957563525),4,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_19364_mountain-lodge-3.php,"LM Glasfiber, GE Energy",
250,Mountlucas,POINT (-7.236684448153066 53.27338874945291),,,,,,,,,,,
251,Mounvaun (Mienvee) Wind Farm,POINT (-8.144190966374618 52.64965609784392),0,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1739_mienvee.php,Vestas,
252,Mounvaun (Mienvee) Wind Farm (2),POINT (-8.142339027432651 52.64822025804474),0,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_20220_mienvee-2.php,Vestas,
253,Moyvane Wind,POINT (-9.386652589351762 52.46234815454094),,,,,,,,,,,
254,Muine Bheag Wind,POINT (-6.946392174358769 52.69431603155311),,,,,,,,,,,
255,"Muingnaminnane Wind Farm
Wind",POINT (-9.539070812603502 52.28952373380011),15,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_6703_muingnaminanne.php,Vestas,
256,Mullananalt Wind Farm,POINT (-6.91241278518763 54.07673753890494),5,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3851_mullananalt.php,Vestas,
257,Mulreavy,POINT (-7.97193455769582 54.65668779095461),,,,,,,,,,,
258,Mulreavy,POINT (-7.935770485516613 54.65262179854071),,,,,,,,,,,
259,Oweninny,POINT (-9.548391881111856 54.13545897377362),31,103,91,141,3,25,13,"3,600",https://www.thewindpower.net/windfarm_en_7250_oweninny.php,GE Energy,
260,Owenstown,POINT (-6.553308136800078 53.40646473218563),,,,,,,,,,,
261,Pallas,POINT (-9.547748102565169 52.37859312015904),,,,,,,,,,,
262,Patrick Costello Wind Turbine,POINT (-8.055458035334318 52.65773014469097),,,,,,,,,,,
263,Patrick Costello Wind Turbine Ext,POINT (-8.055310464591003 52.65791896098874),,,,,,,,,,,
264,Pluckanes Wind Farm,POINT (-8.700671809563508 52.00261082273742),0,52,91,141,3,25,13,"3,600",https://www.thewindpower.net/windfarm_en_21328_pluckanes.php,Vestas,
265,Raheen Barr Wind Farm,POINT (-9.336146445639331 53.90498685391744),22,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1733_raheen-barr.php,Vestas,
266,Raheenleagh (1),POINT (-6.291402519982768 52.79604325196885),11,103,75,100,4,25,13,"3,200",https://www.thewindpower.net/windfarm_en_24079_raheenleagh.php,GE Energy,
267,Rahora Wind Farm,POINT (-7.052531725625157 52.39541960228326),5,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_3919_rahora.php,Enercon,
269,"Rathcahill West Wind Farm
Wind",POINT (-9.130708395779125 52.40324711690273),5,100,75,100,3,25,11.5,"2,500",https://www.thewindpower.net/windfarm_en_17365_rathcahill.php,LM Glasfiber,
270,Rathnacally Wind Farm,POINT (-8.69843212899884 52.32958601466868),2,114,93,143,3.5,22,13,"3,200",https://www.thewindpower.net/windfarm_en_29942_rathnacally.php,Power Blades,
271,Reenascreena Wind Farm,POINT (-9.036328783321958 51.62332725927826),5,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_11139_reenascreena.php,Enercon,
272,"Richfield Wind Farm (2)
Wind",POINT (-6.591926770153186 52.21499241309496),,,,,,,,,,,
273,"Richfield Wind Farm
Wind",POINT (-6.594227581971263 52.21674579467525),18,70.5,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_3830_richfield.php,"LM Glasfiber, GE Energy",
274,Roosky Wind Farm,POINT (-8.585476907856535 53.87814907873501),2,92,78,138,2,25,13,"2,350",https://www.thewindpower.net/windfarm_en_23058_roosky.php,Enercon,
275,Rossaveel Wind Farm,POINT (-9.983564516692482 53.49648174178383),,,,,,,,,,,
276,Scartaglen 2 Wind Farm,POINT (-9.315160166566779 52.16251539500141),,,,,,,,,,,
277,Scartaglen Wind Farm,POINT (-9.315160166566779 52.16251539500141),12,92,78,138,2,25,13,"2,350",https://www.thewindpower.net/windfarm_en_29938_scartaglen.php,Enercon,
279,Seltanaveeny Wind Farm,POINT (-8.116665541328503 54.10931795592608),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18141_seltenaveeny.php,Enercon,
278,Seecon,POINT (-9.372283421036292 53.35260852544229),,,,,,,,,,,
279,Seltanaveeny Wind Farm,POINT (-8.116665541328503 54.10931795592608),,,,,,,,,,https://www.thewindpower.net/windfarm_en_18141_seltenaveeny.php,
280,Shalvey Poultry WT,POINT (-7.056220373471763 54.02432177948901),,,,,,,,,,,
281,Shannagh (Kilcar),POINT (-8.582709111329597 54.66827313467795),3,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_11135_shannagh.php,Enercon,
282,"Skehanagh Wind Farm
Wind",POINT (-7.983232484869579 53.02006298613971),5,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3828_skehanagh.php,Vestas,
283,Skrine Wind Farm,POINT (-8.181871968776871 53.56925659723377),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18142_skrine.php,Enercon,
284,Sliabh Bawn,POINT (-8.053792117724766 53.74907589288794),20,101,74.5,99.5,3,25,12.5,"3,200",https://www.thewindpower.net/windfarm_en_24390_sliabh-bawn.php,Siemens,
285,Slievereagh Wind Farm (1),POINT (-8.389333880751375 52.37308406954953),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17449_slievereagh.php,Enercon,
286,Slievereagh Wind Farm (2),POINT (-8.389333880751375 52.37308406954953),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_22491_slievereagh-2.php,Enercon,
287,Sonnagh Old Phase 1,POINT (-8.637908638889531 53.13074213056948),9,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1718_sonnagh-old.php,Vestas,
288,Sorne Hill (2),POINT (-7.355484815507949 55.13100005546953),3,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3923_sorne-hill-ii.php,Enercon,
289,Sorne Hill Wind Farm,POINT (-7.355602459775861 55.12661626677207),16,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_3840_sorne-hill.php,Enercon,
290,Sorrell Island (Glenmore) WF Ext,POINT (-9.264146750501631 52.7661248268654),,,,,,,,,,,
291,Sorrell Island (Prev Glenmore),POINT (-9.264146750501631 52.7661248268654),,,,,,,,,,,
292,Spion Kop Wind Farm,POINT (-8.13828123668295 54.13456303218253),2,42,40.5,53,4.5,25,16,600,https://www.thewindpower.net/windfarm_en_1727_spion-kop.php,Vestas,
293,"St Patricks Missionary Society, Co. Wicklow",POINT (-6.558350818867698 52.90159700766657),0,42,40.5,53,4.5,25,16,600,https://www.thewindpower.net/windfarm_en_24919_st-patricks-missionary-society.php,Vestas,
294,Taghart Wind Farm (formerly Cregg WF),POINT (-6.874385510989415 53.96227784214874),0,42,40.5,53,4.5,25,16,600,https://www.thewindpower.net/windfarm_en_7233_taghart.php,Vestas,
295,"Taurbeg Wind Farm
Wind",POINT (-9.135498732100299 52.25023667303629),11,82.4,80,100,3.5,25,17,"2,300",https://www.thewindpower.net/windfarm_en_3834_taurbeg.php,Siemens,
296,Teevurcher Wind Farm,POINT (-6.919937999272139 53.88258094684267),5,82,58.5,80,4,22,14.5,"2,050",https://www.thewindpower.net/windfarm_en_26532_teevurcher.php,Power Blades,
297,"Templederry Wind Farm
Wind",POINT (-8.147873184978732 52.77731564217861),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17359_templederry.php,Enercon,
298,Tesco Donabate,POINT (-6.190919279174804 53.48883358622148),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_29955_tesco-donabate.php,Enercon,
299,Three Trees,POINT (-7.262612809659485 55.12561291429262),,,,,,,,,,,
300,Tournafulla (2) Wind Farm,POINT (-9.161786391872591 52.37563763802461),13,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3831_tournafulla-ii.php,Enercon,
301,"Tournafulla Wind Farm (1)
Wind",POINT (-9.161786391872591 52.37563763802461),5,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3832_tournafulla.php,Enercon,
302,Tullabrack Wind Farm,POINT (-9.478093407374404 52.67925716357632),6,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27829_tullabrack-wind-farm.php,Enercon,
303,Tullow Mushroom Growers Ltd,POINT (-6.758990558960259 52.84718305435683),0,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_203_tullow-mushroom-growers-ltd.php,Enercon,
304,Tullynamalra Wind Farm,POINT (-6.813136405811043 54.06044122354747),,,,,,,,,,,
305,Tullynamoyle,POINT (-8.13490850296559 54.22673293672712),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_19363_tullynamoyle.php,Enercon,
306,Tullynamoyle 2 Wind Farm,POINT (-8.120575907760283 54.22890467263275),5,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27254_tullynamoyle-2.php,Enercon,
307,Tullynamoyle Wind Farm 3 (Carrane Hill Merged Capacity),POINT (-8.13490850296559 54.22673293672712),6,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27255_tullynamoyle-3.php,Enercon,
308,Tullynamoyle Wind Farm 3 (Formerly Geevagh 2),POINT (-8.13490850296559 54.22673293672712),,,,,,,,,,,
309,"Tursillagh (2) Wind Farm
Wind",POINT (-9.606067177272932 52.31471871219317),8,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1724_tursillagh.php,Vestas,
310,Tursillagh Wind Farm,POINT (-9.596714307505197 52.31364095429129),8,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1721_tursillagh.php,Vestas,
311,Uggool,POINT (-9.352753165512247 53.36676233851839),,,,,,,,,,,
312,"WEDcross Wind Farm
Wind",POINT (-9.228600248520692 52.15307519294701),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_1673_wedcross.php,Enercon,
314,Woodhouse,POINT (-7.777068081525129 52.08133005156486),3,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_22883_woodhouse.php,"LM Glasfiber, Nordex",
